debtor,Concept,creditor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Belgium,Portfolio Investment Total Liabilities (BPM5),Turkey,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,217749,0,89524,27164,9981435,703,0,200884,63740,0,732235,0,0,0,0,0,10,0,0,0,0,0,1
Belgium,Portfolio Investment Total Liabilities (BPM5),United Kingdom,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,11143423200,13577803200,17761334400,22546551465,13307935111,23376404088,20098235136,16858406090,26540606931,26401218200,29938061960,41991053400,11143,13578,17761,22547,13308,23376,20098,16858,26541,26401,29938,41991
Belgium,Portfolio Investment Total Liabilities (BPM5),United States,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,12727855513,12357599007,16987000000,23973432760,24664000000,35968000000,37874000000,23231000000,36751000000,35453000000,34015000000,45546000000,12728,12358,16987,23973,24664,35968,37874,23231,36751,35453,34015,45546
China,Portfolio Investment Total Liabilities (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,40804190,17827900,37890000,104881700,173415900,628209000,640363500,267206400,433620600,481032000,364879800,465748200,41,18,38,105,173,628,640,267,434,481,365,466
China,Portfolio Investment Total Liabilities (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,20054863,18779998,78071054,84419580,103679495,403804053,403745507,263451638,523369980,565693632,372255030,532773720,20,19,78,84,104,404,404,263,523,566,372,533
China,Portfolio Investment Total Liabilities (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,1778179,574751,4983242,63329949,28597361,30173765,29734948,32012378,33586240,655152,1054678,242717,2,1,5,63,29,30,30,32,34,1,1,0
China,Portfolio Investment Total Liabilities (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,336649,376003,1350719,1472578,2988720,0,3958200,0,0,0,0,0,0,0,1,1,3,0,4
China,Portfolio Investment Total Liabilities (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,30312000,195420487,214434069,288660060,543337389,132670761,125332200,511718480,510166575,662475445,0,0,30,195,214,289,543,133,125,512,510,662
China,Portfolio Investment Total Liabilities (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,306692400,430885661,943615086,1784969393,2007536780,4691539881,10009885477,4755251021,9129219057,11658978359,10489793511,12514159359,307,431,944,1785,2008,4692,10010,4755,9129,11659,10490,12514
China,Portfolio Investment Total Liabilities (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,157752700,144720600,438261000,745068700,842305800,3237186000,3243036300,1778592600,2941705200,2918260800,2354898000,2881569600,158,145,438,745,842,3237,3243,1779,2942,2918,2355,2882
China,Portfolio Investment Total Liabilities (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,100000,0,1263000,1362100,3539100,61899000,185484600,2783400,7203000,14698200,10351200,7916400,0,0,1,1,4,62,185,3,7,15,10,8
China,Portfolio Investment Total Liabilities (BPM5),India,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,31295,0,0,34585818,29292952,29198800,3591386,19151,2793128,0,0,0,0,0,0,35,29,29,4,0,3
China,Portfolio Investment Total Liabilities (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,240594900,172673081,510836784,805001100,3369223200,6384816000,7251564600,7015559700,12308486400,14724924000,13588537800,15720651000,241,173,511,805,3369,6385,7252,7016,12308,14725,13589,15721
China,Portfolio Investment Total Liabilities (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,154073919,157305000,383952000,518960100,615706600,1163402360,979392820,733864702,877096090,850883463,654578828,916204020,154,157,384,519,616,1163,979,734,877,851,655,916
China,Portfolio Investment Total Liabilities (BPM5),Japan,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,1669243202,1457955863,2517886396,4723395572,4074357301,10267309416,15500707251,5994490358,13121877037,13974701577,10650290352,10423386028,1669,1458,2518,4723,4074,10267,15501,5994,13122,13975,10650,10423
China,Portfolio Investment Total Liabilities (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,1680643,170392,291642,373832,79044,103277,0,0,0,0,0,0,2,0,0,0,0,0
China,Portfolio Investment Total Liabilities (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,924834343,1061302462,3454675104,3824275623,6505752170,30676460541,36170285727,16357602221,35927734779,39480260619,34863162272,37977937892,925,1061,3455,3824,6506,30676,36170,16358,35928,39480,34863,37978
China,Portfolio Investment Total Liabilities (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Portfolio Investment Total Liabilities (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,240594900,119551800,770430000,1137353500,1515914500,2922423000,3728829300,2978238000,5098283400,7744615200,7346764200,9032612400,241,120,770,1137,1516,2922,3729,2978,5098,7745,7347,9033
China,Portfolio Investment Total Liabilities (BPM5),Norway,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,84280372,477244067,73760030,162498013,438109306,940255591,1237707948,1650000000,3658650519,4528156997,3613522538,7201795332,84,477,74,162,438,940,1238,1650,3659,4528,3614,7202
China,Portfolio Investment Total Liabilities (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,13660926,14803080,21419055,20847666,22732668,36331278,26874303,27206028,0,0,0,0,14,15,21,21,23,36,27,27
China,Portfolio Investment Total Liabilities (BPM5),Russian Federation,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,7000000,5000000,3000000,12000000,12454495,15938993,0,0,0,0,0,0,7,5,3,12,12,16
China,Portfolio Investment Total Liabilities (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,242174,535245,735350,2142545,794950,720300,400860,517560,0,0,0,0,0,1,1,2,1,1,0,1,0
China,Portfolio Investment Total Liabilities (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,106795361,122585110,72442394,108756823,0,0,0,0,0,0,0,0,107,123,72,109
China,Portfolio Investment Total Liabilities (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,7050400,369142400,941566500,31736965,42233260,39378300,1253616193,1352657268,0,165969402,0,0,7,369,942,32,42,39,1254,1353,0,166,0,0
China,Portfolio Investment Total Liabilities (BPM5),Sweden,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,58689102,103814504,187668169,153025126,286238440,709280845,1296413097,1410931343,1406109021,1527842550,1531597050,1506341763,59,104,188,153,286,709,1296,1411,1406,1528,1532,1506
China,Portfolio Investment Total Liabilities (BPM5),Switzerland,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,96386838,98727224,270646287,274654423,470559657,736328150,1145772980,537634645,1173721823,1543707065,1689082727,2825112374,96,99,271,275,471,736,1146,538,1174,1544,1689,2825
China,Portfolio Investment Total Liabilities (BPM5),Turkey,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,125661,174401,93461,1073,309808,265597,227766,64,5000000,0,0,0,0,0,0,0,0,0,0,0,5,0
China,Portfolio Investment Total Liabilities (BPM5),United Kingdom,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,2290181600,2320992000,4965035400,6383102878,10407829115,17534018950,38830134532,13057897464,24365296155,31435240000,29331217710,33088135200,2290,2321,4965,6383,10408,17534,38830,13058,24365,31435,29331,33088
China,Portfolio Investment Total Liabilities (BPM5),United States,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,3003882640,4963000000,13738000000,12722516144,28443000000,75314000000,97240000000,54902000000,1.02303E+11,1.02226E+11,76799000000,1.20392E+11,3004,4963,13738,12723,28443,75314,97240,54902,102303,102226,76799,120392
Cyprus,Portfolio Investment Total Liabilities (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,61250350,82847300,194502000,1036558100,2105764500,3948366000,4953616500,4955843700,4075457400,499738800,445101600,189993600,61,83,195,1037,2106,3948,4954,4956,4075,500,445,190
Cyprus,Portfolio Investment Total Liabilities (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,55503393,31045715,56782927,178127782,179348715,433352265,310337817,248000560,157169460,336815934,212070210,122572260,56,31,57,178,179,433,310,248,157,337,212,123
Cyprus,Portfolio Investment Total Liabilities (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total Liabilities (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,963753,3142728,2789619,5521686,24659563,55930515,17109102,6902709,10076255,16820700,6597000,0,1,3,3,6,25,56,17,7,10,17,7
Cyprus,Portfolio Investment Total Liabilities (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,28131831,8795544,99401400,184449348,96241885,126553437,0,0,0,0,0,0,28,9,99,184,96,127
Cyprus,Portfolio Investment Total Liabilities (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,60809700,105678548,277353537,588096210,324098981,1304700537,3434625699,1484760196,459142270,556286784,290692750,249006404,61,106,277,588,324,1305,3435,1485,459,556,291,249
Cyprus,Portfolio Investment Total Liabilities (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,313742800,490791600,611292000,1413859800,1348397100,1604106000,2370081000,1426492500,1442040600,1878697200,1002772500,613521000,314,491,611,1414,1348,1604,2370,1426,1442,1879,1003,614
Cyprus,Portfolio Investment Total Liabilities (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,289600000,492889000,757800000,681050000,788039600,1467138000,2590896000,1466851800,2781798600,3112009800,2806469100,1085866200,290,493,758,681,788,1467,2591,1467,2782,3112,2806,1086
Cyprus,Portfolio Investment Total Liabilities (BPM5),India,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,0,0,2180436,2044643,0,0,0,0,0,0,0,0,0,0,2,2
Cyprus,Portfolio Investment Total Liabilities (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,24682714,93615285,99433300,188752000,313446000,315029400,264423000,234817800,112240800,164325300,138537000,0,25,94,99,189,313,315,264,235,112,164,139
Cyprus,Portfolio Investment Total Liabilities (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,5381248,6292200,80832000,148468900,113041583,151095134,330419603,140044955,150713802,94100120,67503938,62540395,5,6,81,148,113,151,330,140,151,94,68,63
Cyprus,Portfolio Investment Total Liabilities (BPM5),Japan,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,9974962,59426347,0,2715108,9844938,9187682,60386685,22038567,76037367,52158973,9492524,16190200,10,59,0,3,10,9,60,22,76,52,9,16
Cyprus,Portfolio Investment Total Liabilities (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,990649,1519691,2008757,14355140,37897059,31963484,0,0,0,0,0,0,1,2,2,14,38,32
Cyprus,Portfolio Investment Total Liabilities (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,146848420,154029634,312655202,522345562,740090554,1345420170,2624632536,2111690198,2192206426,1218783579,1197311874,1663459202,147,154,313,522,740,1345,2625,2112,2192,1219,1197,1663
