creditor,Concept,debtor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Finland,Portfolio Investment Total General Government Assets (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,760022880,1142393270,1440130572,1770469440,2132454618,1353859677,1996671600,837803155.3,224183301,14380158.8,0,0,760.02288,1142.39327,1440.130572,1770.46944,2132.454618,1353.859677,1996.6716,837.8031553,224.183301,14.3801588
Finland,Portfolio Investment Total General Government Assets (BPM5),India,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,199752869.8,0,0,0,0,0,0,0,0,0,0,0,199.7528698
Finland,Portfolio Investment Total General Government Assets (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,2256981000,2341477142,3453265028,5392008720,6791430303,6283692504,9325003800,10813414086,9249816863,14809741726,0,0,2256.981,2341.477142,3453.265028,5392.00872,6791.430303,6283.692504,9325.0038,10813.41409,9249.816863,14809.74173
Finland,Portfolio Investment Total General Government Assets (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,4399029000,4110341065,3763939023,3685874730,4032641298,2675431914,3993343200,3940898962,1006792122,1315564617,0,0,4399.029,4110.341065,3763.939023,3685.87473,4032.641298,2675.431914,3993.3432,3940.898962,1006.792122,1315.564617
Finland,Portfolio Investment Total General Government Assets (BPM5),Japan,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,411220170,687901363,1681945478,2022543240,1767153003,0,0,126620511.7,259554972.2,5248064.326,0,0,411.22017,687.901363,1681.945478,2022.54324,1767.153003,0,0,126.6205117,259.5549722,5.248064326
Finland,Portfolio Investment Total General Government Assets (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Portfolio Investment Total General Government Assets (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,2388333000,3988637430,4895318511,7722045120,10386534039,5979007623,8855368200,14992088695,12071453170,19409521880,0,0,2388.333,3988.63743,4895.318511,7722.04512,10386.53404,5979.007623,8855.3682,14992.0887,12071.45317,19409.52188
Finland,Portfolio Investment Total General Government Assets (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Portfolio Investment Total General Government Assets (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,5193456000,5757283417,6167967074,6307139340,5981642814,4615350378,5805618000,5819312982,6900728187,6213513184,0,0,5193.456,5757.283417,6167.967074,6307.13934,5981.642814,4615.350378,5805.618,5819.312982,6900.728187,6213.513184
Finland,Portfolio Investment Total General Government Assets (BPM5),Norway,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,353640000,384452725,621666509,824705400,1547500962,964197594,1204341600,1874075885,2093911055,2529050194,0,0,353.64,384.452725,621.666509,824.7054,1547.500962,964.197594,1204.3416,1874.075885,2093.911055,2529.050194
Finland,Portfolio Investment Total General Government Assets (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,430657740,537988637,399635172,562582890,584364816,531100554,909018600,511183520.3,207024000,179669885.1,0,0,430.65774,537.988637,399.635172,562.58289,584.364816,531.100554,909.0186,511.1835203,207.024,179.6698851
Finland,Portfolio Investment Total General Government Assets (BPM5),Russian Federation,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,28100123,23098526,334899930,725082855,157930116,347184600,444963409.9,186939106.4,127503788.7,0,0,0,28.100123,23.098526,334.89993,725.082855,157.930116,347.1846,444.9634099,186.9391064,127.5037887
Finland,Portfolio Investment Total General Government Assets (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,103136684.9,58037030.53,73610434.3,0,0,0,0,0,0,0,0,0,103.1366849,58.03703053,73.6104343
Finland,Portfolio Investment Total General Government Assets (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,93202149,211768200,315148350,187364220.3,124964295.5,0,0,0,0,0,0,0,93.202149,211.7682,315.14835,187.3642203,124.9642955
Finland,Portfolio Investment Total General Government Assets (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,3940560000,6376684771,5728741170,6404320770,4798251066,3237247287,2639179200,1903239218,1244896535,1631947342,0,0,3940.56,6376.684771,5728.74117,6404.32077,4798.251066,3237.247287,2639.1792,1903.239218,1244.896535,1631.947342
Finland,Portfolio Investment Total General Government Assets (BPM5),Sweden,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,2999625000,4460986468,5901177919,7073593830,10638763653,8429276394,8335311600,8911424671,8741180030,6918643781,0,0,2999.625,4460.986468,5901.177919,7073.59383,10638.76365,8429.276394,8335.3116,8911.424671,8741.18003,6918.643781
Finland,Portfolio Investment Total General Government Assets (BPM5),Switzerland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,1045764000,1557915496,1349234687,1899114000,2311962492,597999573,1053078600,1581748132,1101005024,1167070088,0,0,1045.764,1557.915496,1349.234687,1899.114,2311.962492,597.999573,1053.0786,1581.748132,1101.005024,1167.070088
