debtor,Concept,creditor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Estonia,Portfolio Investment Total Liabilities (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Portfolio Investment Total Liabilities (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,7897111.913,25803976.95,3781976.612,7153798.246,6486059.672,65464827.29,30095809.6,8453807.202,1293900,1319400,0,0,8,26,4,7,6,65,30,8,1,1
Estonia,Portfolio Investment Total Liabilities (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),USD,Units,1762600,23071400,83358000,121226900,75500800,55314000,41218800,37575900,27371400,29396400,27171900,55414800,2,23,83,121,76,55,41,38,27,29,27,55
Estonia,Portfolio Investment Total Liabilities (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,3468318,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Estonia,Portfolio Investment Total Liabilities (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,0,0,0,0,0,9499680,0,0,0,0,0,0,0,0,0,0,0,9
Estonia,Portfolio Investment Total Liabilities (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,336649.3292,2914026.809,1350718.582,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
Estonia,Portfolio Investment Total Liabilities (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,0,0,842166.1164,1086222.368,2205919.648,28248354,0,0,0,0,0,0,0,0,1,1,2,28
Estonia,Portfolio Investment Total Liabilities (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,94000.86481,90047.90549,92036.11497,85391.99194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Portfolio Investment Total Liabilities (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,1887660,2147100,49772543.77,45064540,9219000,8049525.238,0,0,0,0,0,0,2,2,50,45,9,8,0,0,0,0,0
Finland,Portfolio Investment Total Liabilities (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),USD,Units,1194761897,1631777200,2531052000,2838616400,2935093600,3312255000,3568370400,2971279500,3245671800,3869635200,4334565000,4666717800,1195,1632,2531,2839,2935,3312,3568,2971,3246,3870,4335,4667
Finland,Portfolio Investment Total Liabilities (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),USD,Units,2532091232,2664768441,3793173096,5443067644,5917124220,5006902116,6964073775,3905480571,5413486680,7610193480,5585248740,5239337400,2532,2665,3793,5443,5917,5007,6964,3905,5413,7610,5585,5239
Finland,Portfolio Investment Total Liabilities (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),USD,Units,2215921.178,1258915.483,8817849.018,118349695.5,107655152.2,131847567.3,192209152.8,195753992.6,196285118.7,149926864.5,154574071.7,129638082,2,1,9,118,108,132,192,196,196,150,155,130
Finland,Portfolio Investment Total Liabilities (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,41037983.27,82465051.82,164147111.9,191786315.2,187207842.3,293979026.7,580361339.3,350826639.8,488251589.9,430973383.3,395933400,461790000,41,82,164,192,187,294,580,351,488,431,396,462
Finland,Portfolio Investment Total Liabilities (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Portfolio Investment Total Liabilities (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),USD,Units,10637291000,14894566548,18514512765,21258183008,20760729846,22845831741,29975302083,21890540570,30744585068,25499676017,16051182735,17345241414,10637,14895,18515,21258,20761,22846,29975,21891,30745,25500,16051,17345
Finland,Portfolio Investment Total Liabilities (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),USD,Units,18638613700,16417398500,21348489000,24036978700,21328976000,28460370000,31145219700,16945339200,18982786200,20675022600,25075782000,35209508400,18639,16417,21348,24037,21329,28460,31145,16945,18983,20675,25076,35210
Finland,Portfolio Investment Total Liabilities (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),USD,Units,36800000,55581100,111144000,98071200,77860200,100092000,154570500,33400800,27371400,49439400,42698700,164925000,37,56,111,98,78,100,155,33,27,49,43,165
Finland,Portfolio Investment Total Liabilities (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),USD,Units,3890939500,4178732136,5091255240,6170313000,6120283600,5647296000,11089329300,7690534200,10480365000,9532450800,11014970700,12130563600,3891,4179,5091,6170,6120,5647,11089,7691,10480,9532,11015,12131
Finland,Portfolio Investment Total Liabilities (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),USD,Units,4076808889,3476440500,4058019000,5054753100,5043434838,5096286944,4363280421,3374476872,4783404014,3429453186,3375504969,2880294916,4077,3476,4058,5055,5043,5096,4363,3374,4783,3429,3376,2880
